22:42:56.027 AnalyticsManager             Set user property: android_version = 16
22:42:56.027 AnalyticsManager             Common analytics properties set
22:42:56.027 LocationService              Location service components prepared
22:42:56.075 SessionLifecycleClient       Sending lifecycle 1 to service
22:42:56.080 MainActivity                 Lifecycle: MainActivity is being resumed
22:42:56.080 AnalyticsManager             Logged event: app_foreground with params: {}
22:42:56.080 TaxiApplication              App came to foreground
22:42:56.081 SessionLifecycleService      Activity foregrounding at 115287.
22:42:56.166 AnalyticsManager             Logged event: app_foreground with params: {}
22:42:56.166 LocationService              Location updates resumed for foreground operation
22:42:56.314 Choreographer                Skipped 34 frames!  The application may be doing too much work on its main thread.
22:42:56.464 MainActivity                 UI: Setting up navigation structure
22:42:56.950 HWUI                         Image decoding logging dropped!
22:42:56.963 HWUI                         Image decoding logging dropped!
22:42:57.809 om.example.taxi              Suspending all threads took: 477.461ms
22:42:58.579 om.example.taxi              Background concurrent mark compact GC freed 3632KB AllocSpace bytes, 47(1328KB) LOS objects, 49% free, 8455KB/16MB, paused 1.152s,7.653ms total 2.332s
22:42:58.638 HomeScreen                   User Flow: User viewing home screen with role selection
22:42:59.241 HWUI                         Davey! duration=3450ms; Flags=1, FrameTimelineVsyncId=14721, IntendedVsync=114955070716, Vsync=115521737360, InputEventId=0, HandleInputStart=115528727997, AnimationStart=115528734039, PerformTraversalsStart=115563507110, DrawStart=118262411624, FrameDeadline=114971737382, FrameStartTime=115526341453, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=118354937503, SyncStart=118389036725, IssueDrawCommandsStart=118389178354, SwapBuffers=118424762201, FrameCompleted=118439609433, DequeueBufferDuration=4264, QueueBufferDuration=363902, GpuCompleted=118439609433, SwapBuffersCompleted=118426889478, DisplayPresentTime=0, CommandSubmissionCompleted=118424762201, 
22:42:59.273 AppInitManager               App initialization completed successfully
22:42:59.278 AnalyticsManager             Logged event: app_initialization_completed with params: {}
22:42:59.287 AppNavigation                Navigation: Checking user login status
22:42:59.287 NavHostManager               User Flow: Existing user 0bcn9Z5endM7OfZqIryUswAGJM93 detected, skipping login
22:42:59.287 SafeNavigation               Current back stack routes: [home]
22:42:59.287 SafeNavigation               Already at home, skipping navigation
22:42:59.304 HomeScreen                   UI: Initializing Home Screen
22:42:59.333 Choreographer                Skipped 177 frames!  The application may be doing too much work on its main thread.
22:42:59.686 AnalyticsManager             Logged event: screen_view with params: {screen_name=Home Screen, screen_class=home}
22:42:59.686 AppNavigation                Navigation: User at Home Screen
22:42:59.791 AnalyticsManager             Logged event: app_open with params: {}
22:42:59.800 HWUI                         Davey! duration=3408ms; Flags=0, FrameTimelineVsyncId=14811, IntendedVsync=115588404024, Vsync=118538403906, InputEventId=0, HandleInputStart=118547766905, AnimationStart=118547772798, PerformTraversalsStart=118907014817, DrawStart=118907848088, FrameDeadline=118471737242, FrameStartTime=118545361602, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=118981909020, SyncStart=118982678413, IssueDrawCommandsStart=118982906694, SwapBuffers=118987795868, FrameCompleted=118997534689, DequeueBufferDuration=3809, QueueBufferDuration=1816515, GpuCompleted=118997447602, SwapBuffersCompleted=118997534689, DisplayPresentTime=0, CommandSubmissionCompleted=118987795868, 
22:42:59.802 MainActivity                 Application startup: Initialization complete
22:42:59.826 AnalyticsManager             Set user ID: 0bcn9Z5endM7OfZqIryUswAGJM93
22:43:01.178 om.example.taxi              Explicit concurrent mark compact GC freed 1328KB AllocSpace bytes, 0(0B) LOS objects, 49% free, 7959KB/15MB, paused 19.164ms,14.092ms total 375.374ms
22:43:01.349 LeakCanary                   Found 2 objects retained, not dumping heap yet (app is visible & < 5 threshold)
